student_id,program_type,career_path,week_in_program,milestone_stage,observable_engagement
S001,Specialized_MS,Consulting,5,Applying,1
S002,Specialized_MS,Consulting,8,None,0
S003,Specialized_MS,Consulting,9,Applying,0
S004,Specialized_MS,Consulting,10,Interviewing,1
S005,Specialized_MS,Tech,7,Applying,1
S006,Specialized_MS,Tech,11,None,0
S007,Specialized_MS,Tech,12,Applying,0
S008,Specialized_MS,Tech,14,Interviewing,1
S009,Specialized_MS,Healthcare,9,Applying,1
S010,Specialized_MS,Healthcare,13,None,0
S011,Specialized_MS,Healthcare,15,Applying,0
S012,Specialized_MS,Healthcare,16,Interviewing,1
S013,Specialized_MS,Finance,6,Applying,1
S014,Specialized_MS,Finance,9,None,0
S015,Specialized_MS,Finance,11,Applying,0
S016,Specialized_MS,Finance,12,Interviewing,1
S017,Specialized_MS,Undecided,4,None,0
S018,Specialized_MS,Undecided,6,None,1
S019,Specialized_MS,Undecided,7,None,0
S020,Specialized_MS,Undecided,9,None,0
S021,Specialized_MS,Tech,10,Applying,0
S022,Specialized_MS,Consulting,6,Applying,1
S023,Specialized_MS,Finance,8,Interviewing,1
S024,Specialized_MS,Healthcare,12,Applying,0
S025,Specialized_MS,Tech,13,None,1
